NX	NY	TOTAL	RELATIVE ERROR

INFLUENCIA NODOS NY
80 	 50 	 4000 	 0.017524 
80 	 60 	 4800 	 0.015600 
80 	 70 	 5600 	 0.014250 
80 	 80 	 6400 	 0.013362 
80 	 90 	 7200 	 0.012775 
80 	 100 	 8000 	 0.012378 
80 	 110 	 8800 	 0.012102 
80 	 120 	 9600 	 0.011906 
80 	 130 	 10400 	 0.011762 
80 	 140 	 11200 	 0.011656 
80 	 150 	 12000 	 0.011575 
80 	 160 	 12800 	 0.011512 
80 	 170 	 13600 	 0.011463 
80 	 180 	 14400 	 0.011425 
80 	 190 	 15200 	 0.011393 
80 	 200 	 16000 	 0.011368 


INFLUENCIA NODOS NX
50 	 80 	 4000 	 0.044381 
60 	 80 	 4800 	 0.007228 
70 	 80 	 5600 	 0.009601 
80 	 80 	 6400 	 0.013362 
90 	 80 	 7200 	 0.012781 
100 	 80 	 8000 	 0.011425 
110 	 80 	 8800 	 0.009661 
120 	 80 	 9600 	 0.008324 
130 	 80 	 10400 	 0.007111 
140 	 80 	 11200 	 0.006309 
150 	 80 	 12000 	 0.005604 
160 	 80 	 12800 	 0.005163 
170 	 80 	 13600 	 0.004765 
180 	 80 	 14400 	 0.004529 
190 	 80 	 15200 	 0.004302 
200 	 80 	 16000 	 0.004179 

INFLUENCIA NODOS EN AMBAS DIRECCIONES NX Y NY
50 	 50 	 2500 	 0.049332 
60 	 60 	 3600 	 0.008215 
70 	 70 	 4900 	 0.009905 
80 	 80 	 6400 	 0.013362 
90 	 90 	 8100 	 0.011894 
100 	 100 	 10000 	 0.009569 
110 	 110 	 12100 	 0.006995 
120 	 120 	 14400 	 0.005042 
130 	 130 	 16900 	 0.003420 
140 	 140 	 19600 	 0.002338 
150 	 150 	 22500 	 0.001479 
160 	 160 	 25600 	 0.000934 
170 	 170 	 28900 	 0.000494 
180 	 180 	 32400 	 0.000303 
190 	 190 	 36100 	 0.000448 
200 	 200 	 40000 	 0.000577 
